Feature,Importance
log-sigma-2-0-mm-3D_glcm_SumEntropy,0.0007464803569041503
log-sigma-4-0-mm-3D_glcm_MaximumProbability,0.0007445324569812059
wavelet-LLL_glcm_InverseVariance,0.0007445057153225726
wavelet-LHL_firstorder_Kurtosis,0.00074100232085102
logarithm_glszm_LowGrayLevelZoneEmphasis,0.0007409507120152062
original_glszm_LargeAreaHighGrayLevelEmphasis,0.0007346781558177842
log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.0007342179837816793
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.0007339468170442123
wavelet-LLL_firstorder_Uniformity,0.0007308092380281317
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,0.000730343385228005
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.000727510977110716
wavelet-LHH_glcm_JointEntropy,0.0007271880097108182
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.0007258622716821216
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.0007251122404502014
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.0007245062063573554
log-sigma-3-0-mm-3D_firstorder_Minimum,0.0007189716663872154
log-sigma-5-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.0007158152348375292
wavelet-HLH_glrlm_RunVariance,0.0007153310960589096
log-sigma-3-0-mm-3D_firstorder_Skewness,0.0007143699891497357
original_firstorder_TotalEnergy,0.000710453575464863
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.000709606167537706
lbp-3D-k_glszm_SmallAreaHighGrayLevelEmphasis,0.0007047531539948249
log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,0.0007017200194726911
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.0007013591784584033
squareroot_ngtdm_Contrast,0.0007008583169565634
lbp-3D-m2_firstorder_Skewness,0.0006988965493867227
square_glcm_DifferenceVariance,0.0006974091940808105
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.000691005131264188
wavelet-LLH_firstorder_InterquartileRange,0.0006907295982581771
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.0006892394526813583
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.000682037380522306
square_glszm_LowGrayLevelZoneEmphasis,0.0006818003970012471
log-sigma-4-0-mm-3D_glcm_ClusterShade,0.0006808932550830246
